formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C12H24N2O3	[M - H2O + H]+	C12H23N2O2+	Fatty acids	0.881	Fatty Acids and Conjugates	0.483	N-acyl amines	0.146	Lipids and lipid-like molecules	0.995	Fatty Acyls	0.995	Fatty acids and conjugates	0.988	Medium-chain fatty acids	0.860	Medium-chain fatty acids	0.860	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Straight chain fatty acids; Amino fatty acids; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	227.176	93	1.555	695994774701545385	695994641486252032	14	
1	C13H21NO5	[M - H2O + H]+	C13H20NO4+	Fatty acids	0.926	Fatty amides	0.586	N-acyl amines	0.149	Lipids and lipid-like molecules	0.865	Fatty Acyls	0.866	Fatty acids and conjugates	0.560			Fatty acids and conjugates	0.560	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	254.137	95	1.577	695994776551233542	695994641641441288	16	
1	C11H21NO4	[M - H2O + H]+	C11H20NO3+	Fatty acids	0.859	Small peptides	0.237	N-acyl amines	0.435	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.564	Amino acids and derivatives	0.560	Amino acids and derivatives	0.560	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Amino acids and derivatives; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Medium-chain fatty acids; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	214.144	95	1.577	695994777729833059	695994641586915332	15	
1	C16H35NO3	[M + H]+	C16H36NO3+	Fatty acids	0.994	Spingolipids	0.965	Sphingoid bases	0.997	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.996	Alkanolamines	0.990	1,2-aminoalcohols	0.991	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	290.270	95	1.579	695994772746999510	695994641729521676	17	
1	C6H6N2O2	[M + H]+	C6H7N2O2+	Alkaloids	0.939	Histidine alkaloids	0.964	Imidazole alkaloids	0.964	Organoheterocyclic compounds	1.000	Azoles	0.813	Imidazoles	0.764	Substituted imidazoles	0.462	Imidazolyl carboxylic acids and derivatives	0.661	Organic compounds; Organoheterocyclic compounds; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	139.050	96	1.598	695994773149652761	695994641788241936	18	
1	C6H6N2O2	[M - H2O + H]+	C6H5N2O+	Alkaloids	0.880	Histidine alkaloids	0.930	Imidazole alkaloids	0.931	Organoheterocyclic compounds	0.999	Azoles	0.619	Imidazoles	0.693	Substituted imidazoles	0.434	Imidazolyl carboxylic acids and derivatives	0.661	Organic compounds; Organoheterocyclic compounds; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	121.040	96	1.598	695994773040600836	695994641846962196	19	
1	C12H27NO	[M + H]+	C12H28NO+	Fatty acids	0.956	Spingolipids	0.446	Sphingoid bases	0.853	Organic nitrogen compounds	0.999	Organonitrogen compounds	0.999	Aminoxides	0.835	Long-chain alkyl amine oxides	0.790	Long-chain alkyl amine oxides	0.790	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amine oxides and derivatives; Amines; Alkanolamines; Trisubstituted amine oxides and derivatives; Aminoxides; Hydrocarbon derivatives; Long-chain alkyl amine oxides; Trialkyl amine oxides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	202.217	97	1.612	695994771492902538	695994641964402716	21	
1	C44H84NO8P	[M + H]+	C44H85NO8P+	Fatty acids	0.998	Glycerophospholipids	1.000	Glycerophosphocholines	0.993	Lipids and lipid-like molecules	0.982	Glycerophospholipids	0.998	Glycerophosphocholines	0.988	Phosphatidylcholines	0.973	Phosphatidylcholines	0.973	Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	786.601	98	1.626	695994772046550716	695994642065066016	22	
1	C6H15NO3	[M - H2O + H]+	C6H14NO2+	Fatty acids	0.625	Small peptides	0.367	Aminoacids	0.588	Organic acids and derivatives	0.856	Carboxylic acids and derivatives	0.817	Amino acids, peptides, and analogues	0.509	Amino acids and derivatives	0.506	Alpha amino acids and derivatives	0.553	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Quaternary ammonium salts; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Alkanolamines; Organic cations; Organic salts; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	132.102	98	1.630	695994771358684801	695994642119591972	23	
1	C12H27NO2	[M + H]+	C12H28NO2+	Fatty acids	0.710	Spingolipids	0.388	Sphingoid bases	0.832	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	1.000	Alkanolamines	0.975	1,2-aminoalcohols	0.973	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	218.212	99	1.653	695994771606148753	695994642220255272	24	
1	C44H82NO8P	[M + H]+	C44H83NO8P+	Fatty acids	0.997	Glycerophospholipids	1.000	Glycerophosphocholines	0.993	Lipids and lipid-like molecules	0.983	Glycerophospholipids	0.998	Glycerophosphocholines	0.989	Phosphatidylcholines	0.978	Phosphatidylcholines	0.978	Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	784.586	99	1.657	695994772096882365	695994642283169836	25	
1	C40H85NO8P	[M + Na]+	C40H85NNaO8P+	Fatty acids	0.998	Glycerophospholipids	1.000	Glycerophosphocholines	0.990	Lipids and lipid-like molecules	0.984	Glycerophospholipids	0.998	Glycerophosphocholines	0.988	Phosphatidylcholines	0.979	Phosphatidylcholines	0.979	Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	761.588	102	1.697	695994797954768856	695994642488690736	26	
1	C42H82NO8P	[M + H]+	C42H83NO8P+	Fatty acids	0.997	Glycerophospholipids	0.999	Glycerophosphocholines	0.969	Lipids and lipid-like molecules	0.979	Glycerophospholipids	0.997	Glycerophosphocholines	0.957	Phosphatidylcholines	0.922	Phosphatidylcholines	0.922	Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	760.584	102	1.697	695994801377321371	695994642547410996	27	
1	C42H80NO8P	[M + H]+	C42H81NO8P+	Fatty acids	0.996	Glycerophospholipids	1.000	Glycerophosphocholines	0.991	Lipids and lipid-like molecules	0.983	Glycerophospholipids	0.998	Glycerophosphocholines	0.988	Phosphatidylcholines	0.976	Phosphatidylcholines	0.976	Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	758.570	102	1.699	695994779441109284	695994642765514808	28	
1	C10H22BF3N6O3	[M + H3N + H]+	C10H26BF3N7O3+	Amino acids and Peptides	0.555	Small peptides	0.775	Aminoacids	0.296	Organic acids and derivatives	0.920	Carboxylic acids and derivatives	0.718	Amino acids, peptides, and analogues	0.634	Amino acids and derivatives	0.632	Alpha amino acids and derivatives	0.515	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Organometallic compounds; Boronic acid derivatives; Alkyl fluorides; Organometalloid compounds; Organofluorides; Carbonyl compounds; Organoboron compounds; Alkyl halides; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Alkylboranes; Monoalkylboranes; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	359.218	102	1.702	695994835326020301	695994642866178108	29	
1	C9H19NO4	[M - H2O + H]+	C9H18NO3+	Fatty acids	0.996	Fatty amides	0.997	N-acyl amines	0.996	Lipids and lipid-like molecules	0.985	Fatty Acyls	0.976	Fatty amides	0.973	N-acyl amines	0.978	N-acyl amines	0.978	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	188.128	102	1.705	695994773770409847	695994642971035716	31	
1	C9H16O4	[M + H3N + H]+	C9H20NO4+	Fatty acids	0.870	Fatty esters	0.563	Lactones	0.514	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Alcohols and polyols	0.876	Secondary alcohols	0.640	Secondary alcohols	0.640	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Secondary alcohols; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	206.139	102	1.705	695994776257632222	695994643042338888	32	
1	C6H10FNO3	[M - H2O + H]+	C6H9FNO2+	Amino acids and Peptides	0.809	Small peptides	0.859	Aminoacids	0.632	Benzenoids	0.217	Benzene and substituted derivatives	0.391	Halobenzenes	0.568	Fluorobenzenes	0.571	Fluorobenzenes	0.571	Organic compounds; Lipids and lipid-like molecules; Halobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Aryl fluorides; Carboxylic acid derivatives; Fluorobenzenes; Monocarboxylic acids and derivatives; Carboxylic acids; Organofluorides; Secondary carboxylic acid amides; Carbonyl compounds; Aryl halides; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	146.060	103	1.724	695994802270708264	695994643130419276	33	
1	C11H20FN5O2	[M + Na]+	C11H20FN5NaO2+	Alkaloids	0.256	Small peptides	0.409	Aminoacids	0.148	Organic acids and derivatives	0.760	Carboxylic acids and derivatives	0.715	Carboxylic acid derivatives	0.581			Carboxylic acid derivatives	0.581	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Carboxylic acid derivatives; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	296.149	104	1.738	695994798730715218	695994643189139536	34	
1	C38H81NO8P	[M + Na]+	C38H81NNaO8P+	Fatty acids	0.995	Glycerophospholipids	0.999	Glycerophosphocholines	0.978	Lipids and lipid-like molecules	0.982	Glycerophospholipids	0.997	Glycerophosphocholines	0.983	Phosphatidylcholines	0.967	Phosphatidylcholines	0.967	Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	733.557	105	1.747	695994797933797312	695994643407243348	35	
1	C40H78NO8P	[M + H]+	C40H79NO8P+	Fatty acids	0.997	Glycerophospholipids	1.000	Glycerophosphocholines	0.991	Lipids and lipid-like molecules	0.984	Glycerophospholipids	0.998	Glycerophosphocholines	0.991	Phosphatidylcholines	0.980	Phosphatidylcholines	0.980	Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	732.553	105	1.750	695994773954959230	695994643482740824	36	
1	C40H76NO8P	[M + H]+	C40H77NO8P+	Fatty acids	0.999	Glycerophospholipids	1.000	Glycerophosphocholines	0.996	Lipids and lipid-like molecules	0.988	Glycerophospholipids	0.999	Glycerophosphocholines	0.994	Phosphatidylcholines	0.983	Phosphatidylcholines	0.983	Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	730.539	106	1.762	695994772281431749	695994643734399068	37	
1	C14H28O3	[M + H3N + H]+	C14H32NO3+	Fatty acids	0.887	Fatty acyls	0.508	Fatty alcohols	0.653	Lipids and lipid-like molecules	0.646	Fatty Acyls	0.604					Fatty Acyls	0.604	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Primary alcohols; Organooxygen compounds; Fatty Acyls; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	262.238	106	1.772	695994785107614565	695994643839256672	38	
